0,0, is so sad for my APL friend.............
1,0,                   I missed the New Moon trailer...
2,1,              omg its already 7:30 :O
3,0,          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...
4,0,         i think mi bf is cheating on me!!!       T_T
5,0,         or i just worry too much?
6,1,       Juuuuuuuuuuuuuuuuussssst Chillin!!
7,0,       Sunny Again        Work Tomorrow  :-|       TV Tonight
8,1,      handed in my uniform today . i miss you already
9,1,      hmmmm.... i wonder how she my number @-)
10,0,      I must think about positive..
11,1,      thanks to all the haters up in my face all day! 112-102
12,0,      this weekend has sucked so far
13,0,     jb isnt showing in australia any more!
14,0,     ok thats it you win.
15,0,    -------- This is the way i feel right now...
16,0,    awhhe man.... I'm completely useless rt now. Funny all I can do is twitter. http://myloc.me/27HX
17,1,    Feeling strangely fine. Now I'm gonna go listen to some Semisonic to celebrate
18,0,    HUGE roll of thunder just now...SO scary!!!!
19,0,    I just cut my beard off. It's only been growing for well over a year. I'm gonna start it over. @shaunamanu is happy in the meantime.
20,0,    Very sad about Iran.
21,0,    wompppp wompp
22,1,    You're the only one who can see this cause no one else is following me this is for you because you're pretty awesome
23,0,   ---Sad level is 3. I was writing a massive blog tweet on Myspace and my comp shut down. Now it's all lost *lays in fetal position*
24,0,   ...  Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!
25,0,   BoRinG   ): whats wrong with him??     Please tell me........   :-/
26,0,   can't be bothered. i wish i could spend the rest of my life just sat here and going to gigs. seriously.
27,0,   Feeeling like shit right now. I really want to sleep but nooo I have 3 hours of dancing and an art assignment to finish.
28,1,   goodbye exams HELLO ALCOHOL TONIGHT
29,0,   I didn't realize it was THAT deep. Geez give a girl a warning atleast!
30,0,   I hate it when any athlete appears to tear an ACL on live television.
31,0,   i miss you guys too     i think i'm wearing skinny jeans a cute sweater and heels   not really sure   what are you doing today
32,0,  -- Meet your Meat http://bit.ly/15SSCI
33,0,   My horsie is moving on Saturday morning.
34,0,   No Sat off...Need to work 6 days a week
35,0,   Really Dont Like Doing my Room Its So Boring  Sick Of Doing My Wardrobe Out Cant Waiit Till I Have My Walk In One  Yay
36,0,   SOX!     Floyd was great but relievers need a scolding!
37,0,   times by like a million
38,1,   uploading pictures on friendster
39,0,   what type of a spaz downloads a virus? my brother that's who :\ MSN is now fucked forever    :'(
40,0,  &amp;&amp;Fightiin Wiit The Babes...
41,1,  (: !!!!!! - so i wrote something last week. and i got a call from someone in the new york office... http://tumblr.com/xcn21w6o7
42,0,  *enough said*
44,1,  ... health class (what a joke!)
45,1,  @ginaaa 3 GO TO THE SHOW TONIGHT
46,0,  @Spiral_galaxy @YMPtweet  it really makes me sad when i look at Muslims reality now
47,0, - All Time Low shall be my motivation for the rest of the week.
48,0,  and the entertainment is over someone complained properly..   @rupturerapture experimental you say? he should experiment with a melody
49,0,  another year of Lakers .. That's neither magic nor fun ...
50,0,  baddest day eveer.
51,1,  bathroom is clean..... now on to more enjoyable tasks......
52,1,  boom boom pow
53,0,  but i'm proud.
54,0,  congrats to helio though
55,0,  David must be hospitalized for five days end of July (palatine tonsils). I will probably never see Katie in concert.
56,0,  friends are leaving me 'cause of this stupid love  http://bit.ly/ZoxZC
57,1,  go give ur mom a hug right now. http://bit.ly/azFwv
58,1,  Going To See Harry Sunday Happiness
59,0,  Hand quilting it is then...
60,0,  hate u ...  leysh t9ar5 ... =((((((( ..
62,1,  I bend backwards
63,1,  i get off work sooooon! i miss cody booo. haven't seen him in foreverr!
64,1,  I hate allergies. Should I get my hair cut tomorrow? I'm taking a public poll...
65,0, - I love you guys so much that it hurts. http://tumblr.com/xkh1z19us
66,0,  I miss Earl
67,0,  I miss New Jersey
68,0,  I missed the first hour of SYTYCD last night and I can't find it online!
69,0,  I need a U2 fix NOW!
70,0,  I never thought I'd become second choice...
71,0,  I think I may be too friendly...lol... o well...
72,0,  I think Manuel (my Basil plant) only has days to live
73,0,  I wanna be at home @ church...I wonder wht they are doing?
74,0,  i wanna make my own pizza
